,Gender,Age Group ,Often_Use,Fav_Genres,Preference,Inaccurate_Rating,Rating,Prefered_Rating,Accuracy,Recommendations
1,Male,31+,Rarely,"Sci-Fi & Fantasy, Sports, Comedies, Dramas",Thumbs Up & Down Rating,1,Not Aplicable ,Not Aplicable ,3,No complaints
2,Male,26-30,Daily ,"Anime, Sci-Fi & Fantasy, Action & Adventure ",1-5 Star Rating ,1,Not Aplicable ,Not Aplicable ,4,It's good 
3,Female ,16-20,Daily ,"Romantic, Anime, Classic",Thumbs Up & Down Rating,2,Not Aplicable ,Not Aplicable ,5,It's great 
4,Female ,21-24,3-5 times a week,"Action & Adventure, Comedies",Thumbs Up & Down Rating,3,TV-14,TV-PG,5,More Comedies
5,Male,21-25,3-5 times a week,"Romantic, Anime, Classic, Action & Adventure ",Thumbs Up & Down Rating,1,Not Aplicable ,Not Aplicable ,5,Recommendations are good 
6,Female ,26-30,4-6 times a month,"Sci-fi & Fantasy, Comedies, Dramas",1-5 Star Rating ,4,TV-14,NC-17,3,No complaints
7,Female ,26-30,4-6 times a month,"Sports, Children & Family, Dramas",1-5 Star Rating ,1,TV-G,PG-13,2,More options 
8,Female ,16-21,Rarely,"Documentaries, Horror, Thriller, Comedies",Thumbs Up & Down Rating,3,NC-17,R,5,No complaints
9,Male,21-24,3-5 times a week,"Action & Adventure, Comedies",Thumbs Up & Down Rating,1,Not Aplicable ,Not Aplicable ,3,"It is good, can't complain"
10,Male,21-25,Rarely,"Action & Adventure, Comedies",Thumbs Up & Down Rating,5,TV-14,NC-17,2,More Action movies 
11,Male,26-30,Rarely,"Sci-Fi & Fantasy, Horror",Thumbs Up & Down Rating,2,Not Aplicable ,Not Aplicable ,1,Giving more options to things I didn't already watch
12,Male,26-30,Rarely,"Sports, Comedies",Thumbs Up & Down Rating,4,NC-17,TV-MA,3,No compains 
13,Male,16-20,Daily ,"Anime, Sci-Fi & Fantasy, Action & Adventure ",Thumbs Up & Down Rating,2,TV-14,PG-13,4,It good 
